(2023-06-03 23:40:30.410 INFO) - download_dataset: Dataset already exists.
(2023-06-03 23:40:30.413 INFO) - main: Arguments: Namespace(batch_size=50, epochs=100, learning_rate=0.01, num_classes=10, device_id=0, device=device(type='cuda', index=0), model='cnn')
(2023-06-03 23:40:30.455 INFO) - get_data_generator: Train data: 15000 -- Validation data: 5000 -- Test data: 2355
(2023-06-03 23:40:30.500 INFO) - main:     Epoch | Train loss | Train accuracy | Validation loss | Validation accuracy | Test loss | Test accuracy | Time (seconds)
(2023-06-03 23:41:05.779 INFO) - train: 1   / 100 |   5.382635 |       0.097667 |        2.303007 |            0.100000 |  2.309377 |      0.045860 |          34.16
(2023-06-03 23:41:37.584 INFO) - train: 2   / 100 |   2.303704 |       0.099400 |        2.304059 |            0.100000 |  2.302035 |      0.114225 |          31.80
(2023-06-03 23:42:11.838 INFO) - train: 3   / 100 |   2.303712 |       0.100867 |        2.304026 |            0.100000 |  2.295756 |      0.148620 |          34.25
(2023-06-03 23:42:56.509 INFO) - train: 4   / 100 |   2.304058 |       0.097600 |        2.303676 |            0.100000 |  2.300065 |      0.114225 |          44.67
(2023-06-03 23:43:47.466 INFO) - train: 5   / 100 |   2.304242 |       0.094267 |        2.303608 |            0.100000 |  2.301442 |      0.139278 |          50.96
(2023-06-03 23:44:38.222 INFO) - train: 6   / 100 |   2.303369 |       0.095000 |        2.302905 |            0.100000 |  2.301390 |      0.139278 |          50.76
(2023-06-03 23:45:27.263 INFO) - train: 7   / 100 |   2.302927 |       0.097867 |        2.302677 |            0.100000 |  2.301701 |      0.139278 |          49.04
(2023-06-03 23:46:19.555 INFO) - train: 8   / 100 |   2.302783 |       0.097133 |        2.302621 |            0.100000 |  2.301796 |      0.148620 |          52.29
(2023-06-03 23:47:09.393 INFO) - train: 9   / 100 |   2.302800 |       0.091667 |        2.302594 |            0.100000 |  2.302340 |      0.139278 |          49.84
(2023-06-03 23:47:57.856 INFO) - train: 10  / 100 |   2.302770 |       0.094733 |        2.302589 |            0.100000 |  2.302384 |      0.114225 |          48.46
(2023-06-03 23:48:44.185 INFO) - train: 11  / 100 |   2.302610 |       0.098067 |        2.302588 |            0.100000 |  2.302395 |      0.114225 |          46.33
(2023-06-03 23:49:33.973 INFO) - train: 12  / 100 |   2.302607 |       0.094467 |        2.302588 |            0.100000 |  2.302415 |      0.114225 |          49.79
(2023-06-03 23:50:25.305 INFO) - train: 13  / 100 |   2.302608 |       0.100000 |        2.302588 |            0.100000 |  2.302471 |      0.114225 |          51.33
(2023-06-03 23:51:14.003 INFO) - train: 14  / 100 |   2.302606 |       0.098667 |        2.302588 |            0.100000 |  2.302459 |      0.114225 |          48.70
(2023-06-03 23:52:02.708 INFO) - train: 15  / 100 |   2.302607 |       0.100000 |        2.302587 |            0.100000 |  2.302474 |      0.114225 |          48.70
(2023-06-03 23:52:51.362 INFO) - train: 16  / 100 |   2.302589 |       0.100000 |        2.302587 |            0.100000 |  2.302475 |      0.114225 |          48.65
(2023-06-03 23:53:41.747 INFO) - train: 17  / 100 |   2.302589 |       0.100000 |        2.302588 |            0.100000 |  2.302475 |      0.114225 |          50.39
(2023-06-03 23:54:31.173 INFO) - train: 18  / 100 |   2.302589 |       0.100000 |        2.302588 |            0.100000 |  2.302476 |      0.114225 |          49.43
