(2023-06-04 21:01:13.783 INFO) - download_dataset: Dataset already exists.
(2023-06-04 21:01:13.786 INFO) - main: Arguments: Namespace(batch_size=50, epochs=200, learning_rate=0.001, num_classes=10, device_id=0, device=device(type='cuda', index=0), model='densenet')
(2023-06-04 21:01:13.818 INFO) - get_data_data_loader: Train data: 15000 -- Validation data: 5000 -- Test data: 2355
(2023-06-04 21:01:13.946 INFO) - main:     Epoch | Train loss | Train accuracy | Validation loss | Validation accuracy | Test loss | Test accuracy | Time (seconds)
(2023-06-04 21:02:03.723 INFO) - train: 1   / 200 |   0.896024 |       0.714467 |        0.796167 |            0.747600 |  0.796765 |      0.745223 |          48.78
(2023-06-04 21:02:52.625 INFO) - train: 2   / 200 |   0.664930 |       0.790067 |        0.613972 |            0.807600 |  0.593758 |      0.827176 |          48.90
(2023-06-04 21:03:42.444 INFO) - train: 3   / 200 |   0.581782 |       0.816933 |        0.532975 |            0.833400 |  0.587435 |      0.826752 |          49.82
(2023-06-04 21:04:29.667 INFO) - train: 4   / 200 |   0.526938 |       0.833600 |        0.542182 |            0.835400 |  0.579641 |      0.828875 |          47.22
(2023-06-04 21:05:19.524 INFO) - train: 5   / 200 |   0.484250 |       0.847333 |        0.534834 |            0.844200 |  0.513169 |      0.852229 |          49.86
(2023-06-04 21:06:10.098 INFO) - train: 6   / 200 |   0.328301 |       0.897000 |        0.377644 |            0.890800 |  0.407642 |      0.886200 |          50.57
(2023-06-04 21:06:59.782 INFO) - train: 7   / 200 |   0.268631 |       0.917133 |        0.349219 |            0.898600 |  0.386631 |      0.890446 |          49.68
(2023-06-04 21:07:51.008 INFO) - train: 8   / 200 |   0.240794 |       0.922200 |        0.360194 |            0.898400 |  0.397383 |      0.890021 |          51.23
(2023-06-04 21:08:41.078 INFO) - train: 9   / 200 |   0.214304 |       0.933000 |        0.350431 |            0.901400 |  0.378632 |      0.894692 |          50.07
(2023-06-04 21:09:29.252 INFO) - train: 10  / 200 |   0.193946 |       0.939533 |        0.358060 |            0.899400 |  0.402091 |      0.889172 |          48.17
(2023-06-04 21:10:19.703 INFO) - train: 11  / 200 |   0.157944 |       0.950200 |        0.369281 |            0.901400 |  0.402999 |      0.891720 |          50.45
(2023-06-04 21:11:11.119 INFO) - train: 12  / 200 |   0.159884 |       0.951000 |        0.352286 |            0.903200 |  0.388530 |      0.891720 |          51.42
(2023-06-04 21:11:59.008 INFO) - train: 13  / 200 |   0.148383 |       0.954667 |        0.352820 |            0.904000 |  0.383743 |      0.894268 |          47.89
(2023-06-04 21:12:48.963 INFO) - train: 14  / 200 |   0.148096 |       0.953867 |        0.363665 |            0.901200 |  0.392237 |      0.892994 |          49.95
(2023-06-04 21:13:39.027 INFO) - train: 15  / 200 |   0.145562 |       0.953400 |        0.361903 |            0.904400 |  0.397807 |      0.891720 |          50.06
(2023-06-04 21:14:30.107 INFO) - train: 16  / 200 |   0.138600 |       0.957200 |        0.349035 |            0.905800 |  0.390277 |      0.890870 |          51.08
(2023-06-04 21:15:22.647 INFO) - train: 17  / 200 |   0.142257 |       0.955333 |        0.357063 |            0.905600 |  0.393314 |      0.892569 |          52.54
(2023-06-04 21:16:11.967 INFO) - train: 18  / 200 |   0.136269 |       0.957667 |        0.357887 |            0.905200 |  0.392517 |      0.894268 |          49.32
(2023-06-04 21:16:57.334 INFO) - train: 19  / 200 |   0.135973 |       0.959867 |        0.355393 |            0.905800 |  0.392696 |      0.893418 |          45.37
(2023-06-04 21:17:39.156 INFO) - train: 20  / 200 |   0.140667 |       0.954667 |        0.353001 |            0.905400 |  0.388850 |      0.894268 |          41.82
(2023-06-04 21:18:20.121 INFO) - train: 21  / 200 |   0.139649 |       0.956133 |        0.358246 |            0.904400 |  0.392044 |      0.894692 |          40.96
(2023-06-04 21:19:03.734 INFO) - train: 22  / 200 |   0.139511 |       0.956333 |        0.364203 |            0.903800 |  0.393739 |      0.892144 |          43.61
(2023-06-04 21:19:46.872 INFO) - train: 23  / 200 |   0.140646 |       0.954933 |        0.359589 |            0.905800 |  0.393551 |      0.890446 |          43.14
(2023-06-04 21:20:26.991 INFO) - train: 24  / 200 |   0.135987 |       0.956667 |        0.362509 |            0.902800 |  0.389160 |      0.892994 |          40.12
(2023-06-04 21:21:03.020 INFO) - train: 25  / 200 |   0.134934 |       0.958067 |        0.358280 |            0.905400 |  0.391711 |      0.893418 |          36.03
(2023-06-04 21:21:38.901 INFO) - train: 26  / 200 |   0.138478 |       0.956933 |        0.361903 |            0.904600 |  0.392480 |      0.894692 |          35.88
(2023-06-04 21:21:38.904 INFO) - save_results: Results saved to ../results/densenet/densenet_bs50_lr0.001_ep200.h5

====================================================================================================
