(2023-06-04 21:56:27.086 INFO) - download_dataset: Dataset already exists.
(2023-06-04 21:56:27.090 INFO) - main: Arguments: Namespace(batch_size=50, epochs=200, learning_rate=0.001, num_classes=10, device_id=0, device=device(type='cuda', index=0), model='efficientnet')
(2023-06-04 21:56:27.126 INFO) - get_data_loader: Train data: 15000 -- Validation data: 5000 -- Test data: 2355
(2023-06-04 21:56:27.231 INFO) - main:     Epoch | Train loss | Train accuracy | Validation loss | Validation accuracy | Test loss | Test accuracy | Time (seconds)
(2023-06-04 21:57:07.772 INFO) - train: 1   / 200 |   0.762602 |       0.761533 |        0.477896 |            0.858400 |  0.480726 |      0.852654 |          39.35
(2023-06-04 21:57:44.180 INFO) - train: 2   / 200 |   0.518469 |       0.840600 |        0.451717 |            0.869200 |  0.472678 |      0.854777 |          36.41
(2023-06-04 21:58:15.676 INFO) - train: 3   / 200 |   0.436564 |       0.866133 |        0.404969 |            0.881600 |  0.461219 |      0.867516 |          31.49
(2023-06-04 21:58:46.575 INFO) - train: 4   / 200 |   0.374873 |       0.884933 |        0.360292 |            0.889200 |  0.406432 |      0.874310 |          30.90
(2023-06-04 21:59:19.576 INFO) - train: 5   / 200 |   0.342975 |       0.892600 |        0.386810 |            0.887000 |  0.444477 |      0.874310 |          33.00
(2023-06-04 21:59:52.834 INFO) - train: 6   / 200 |   0.214204 |       0.930733 |        0.317501 |            0.910600 |  0.354754 |      0.905732 |          33.26
(2023-06-04 22:00:26.452 INFO) - train: 7   / 200 |   0.158373 |       0.948933 |        0.310425 |            0.912600 |  0.355284 |      0.904034 |          33.62
(2023-06-04 22:01:00.477 INFO) - train: 8   / 200 |   0.133195 |       0.956467 |        0.321296 |            0.914800 |  0.357670 |      0.911253 |          34.02
(2023-06-04 22:01:33.644 INFO) - train: 9   / 200 |   0.118331 |       0.962267 |        0.328261 |            0.916400 |  0.366024 |      0.906157 |          33.17
(2023-06-04 22:02:07.150 INFO) - train: 10  / 200 |   0.096343 |       0.967867 |        0.335975 |            0.917000 |  0.379226 |      0.904459 |          33.51
(2023-06-04 22:02:46.541 INFO) - train: 11  / 200 |   0.086574 |       0.971533 |        0.341096 |            0.916200 |  0.378860 |      0.908705 |          39.39
(2023-06-04 22:03:25.709 INFO) - train: 12  / 200 |   0.079745 |       0.974067 |        0.343309 |            0.918600 |  0.381251 |      0.910828 |          39.17
(2023-06-04 22:04:04.687 INFO) - train: 13  / 200 |   0.074751 |       0.975267 |        0.349724 |            0.915400 |  0.380020 |      0.910828 |          38.98
(2023-06-04 22:04:43.133 INFO) - train: 14  / 200 |   0.075600 |       0.975267 |        0.341059 |            0.918600 |  0.379079 |      0.910403 |          38.45
(2023-06-04 22:05:21.805 INFO) - train: 15  / 200 |   0.078405 |       0.974800 |        0.350625 |            0.916000 |  0.386111 |      0.909130 |          38.67
(2023-06-04 22:06:01.242 INFO) - train: 16  / 200 |   0.067879 |       0.977733 |        0.346508 |            0.917400 |  0.380385 |      0.911677 |          39.44
(2023-06-04 22:06:39.008 INFO) - train: 17  / 200 |   0.076248 |       0.975200 |        0.344935 |            0.916200 |  0.384745 |      0.911253 |          37.77
(2023-06-04 22:06:39.012 INFO) - save_results: Results saved to ../results/efficientnet/efficientnet_bs50_lr0.001_ep200.h5

====================================================================================================
