(2023-06-03 23:42:07.913 INFO) - download_dataset: Dataset already exists.
(2023-06-03 23:42:07.918 INFO) - main: Arguments: Namespace(batch_size=50, epochs=100, learning_rate=0.01, num_classes=10, device_id=0, device=device(type='cuda', index=0), model='resnet')
(2023-06-03 23:42:07.965 INFO) - get_data_generator: Train data: 15000 -- Validation data: 5000 -- Test data: 2355
(2023-06-03 23:42:08.358 INFO) - main:     Epoch | Train loss | Train accuracy | Validation loss | Validation accuracy | Test loss | Test accuracy | Time (seconds)
(2023-06-03 23:42:59.804 INFO) - train: 1   / 100 |   2.133905 |       0.245600 |        1.712008 |            0.358600 |  1.852049 |      0.347346 |          50.35
(2023-06-03 23:43:50.010 INFO) - train: 2   / 100 |   1.913708 |       0.344067 |        4.973741 |            0.291200 |  5.702517 |      0.285775 |          50.21
(2023-06-03 23:44:41.779 INFO) - train: 3   / 100 |   1.653580 |       0.428533 |        1.546707 |            0.466000 |  1.495223 |      0.496815 |          51.77
(2023-06-03 23:45:36.971 INFO) - train: 4   / 100 |   1.466131 |       0.497733 |        1.478637 |            0.466400 |  1.478384 |      0.487473 |          55.19
(2023-06-03 23:46:25.604 INFO) - train: 5   / 100 |   1.369634 |       0.537933 |        1.343895 |            0.541800 |  1.339948 |      0.597028 |          48.63
(2023-06-03 23:47:15.971 INFO) - train: 6   / 100 |   1.212733 |       0.589467 |        1.175707 |            0.599600 |  1.169063 |      0.618684 |          50.37
(2023-06-03 23:48:05.418 INFO) - train: 7   / 100 |   1.156205 |       0.615000 |        1.130533 |            0.616200 |  1.168632 |      0.623355 |          49.45
(2023-06-03 23:48:57.084 INFO) - train: 8   / 100 |   1.127579 |       0.621867 |        1.112869 |            0.626800 |  1.108493 |      0.635669 |          51.67
(2023-06-03 23:49:43.674 INFO) - train: 9   / 100 |   1.094762 |       0.633733 |        1.122524 |            0.625600 |  1.159682 |      0.628450 |          46.59
(2023-06-03 23:50:31.676 INFO) - train: 10  / 100 |   1.072590 |       0.647867 |        1.072137 |            0.648800 |  1.073921 |      0.648832 |          48.00
(2023-06-03 23:51:23.319 INFO) - train: 11  / 100 |   1.020456 |       0.662333 |        1.044840 |            0.658400 |  1.027603 |      0.677707 |          51.64
(2023-06-03 23:52:13.280 INFO) - train: 12  / 100 |   1.003893 |       0.665800 |        1.037063 |            0.663200 |  1.041598 |      0.673036 |          49.96
(2023-06-03 23:53:04.789 INFO) - train: 13  / 100 |   0.997672 |       0.670600 |        1.028928 |            0.664200 |  1.030343 |      0.680255 |          51.51
(2023-06-03 23:53:55.092 INFO) - train: 14  / 100 |   0.989167 |       0.675133 |        1.021158 |            0.668800 |  1.018381 |      0.684926 |          50.30
(2023-06-03 23:54:46.979 INFO) - train: 15  / 100 |   0.985820 |       0.676000 |        1.019305 |            0.667400 |  1.012291 |      0.683227 |          51.89
(2023-06-03 23:55:29.274 INFO) - train: 16  / 100 |   0.974752 |       0.678067 |        1.020428 |            0.663200 |  1.026715 |      0.681953 |          42.29
(2023-06-03 23:56:12.777 INFO) - train: 17  / 100 |   0.974765 |       0.682133 |        1.018300 |            0.668200 |  1.017874 |      0.684076 |          43.50
(2023-06-03 23:56:54.429 INFO) - train: 18  / 100 |   0.973270 |       0.678200 |        1.015273 |            0.668400 |  1.025133 |      0.679406 |          41.65
(2023-06-03 23:57:33.044 INFO) - train: 19  / 100 |   0.968219 |       0.681133 |        1.017559 |            0.671200 |  1.006514 |      0.688747 |          38.61
(2023-06-03 23:58:14.580 INFO) - train: 20  / 100 |   0.970942 |       0.684067 |        1.028182 |            0.666400 |  1.019272 |      0.686624 |          41.54
(2023-06-03 23:58:52.760 INFO) - train: 21  / 100 |   0.976466 |       0.676333 |        1.019002 |            0.669000 |  1.014336 |      0.683227 |          38.18
(2023-06-03 23:59:34.521 INFO) - train: 22  / 100 |   0.969177 |       0.682067 |        1.031981 |            0.656800 |  1.039262 |      0.670488 |          41.76
(2023-06-04 00:00:13.408 INFO) - train: 23  / 100 |   0.971758 |       0.678600 |        1.024366 |            0.661000 |  1.018309 |      0.684501 |          38.89
(2023-06-04 00:00:54.767 INFO) - train: 24  / 100 |   0.966768 |       0.681133 |        1.016539 |            0.668800 |  1.010691 |      0.687049 |          41.36
(2023-06-04 00:01:33.889 INFO) - train: 25  / 100 |   0.973534 |       0.681133 |        1.013749 |            0.670600 |  1.005807 |      0.687473 |          39.12
(2023-06-04 00:02:16.947 INFO) - train: 26  / 100 |   0.976232 |       0.679733 |        1.022125 |            0.670000 |  1.014499 |      0.684926 |          43.06
(2023-06-04 00:02:58.552 INFO) - train: 27  / 100 |   0.965590 |       0.685333 |        1.014347 |            0.669400 |  1.004941 |      0.691295 |          41.60
(2023-06-04 00:03:40.215 INFO) - train: 28  / 100 |   0.969147 |       0.681267 |        1.020452 |            0.670600 |  1.012777 |      0.686624 |          41.66
(2023-06-04 00:04:19.024 INFO) - train: 29  / 100 |   0.970743 |       0.678533 |        1.025275 |            0.667400 |  1.019241 |      0.681953 |          38.81
(2023-06-04 00:05:01.178 INFO) - train: 30  / 100 |   0.973200 |       0.676400 |        1.017159 |            0.670200 |  1.003479 |      0.691295 |          42.15
(2023-06-04 00:05:41.303 INFO) - train: 31  / 100 |   0.971516 |       0.680933 |        1.031854 |            0.662400 |  1.030823 |      0.680679 |          40.12
(2023-06-04 00:06:23.302 INFO) - train: 32  / 100 |   0.970561 |       0.680000 |        1.024546 |            0.664800 |  1.006700 |      0.689597 |          42.00
(2023-06-04 00:07:02.982 INFO) - train: 33  / 100 |   0.966951 |       0.682400 |        1.030880 |            0.666400 |  1.015033 |      0.680255 |          39.68
(2023-06-04 00:07:42.044 INFO) - train: 34  / 100 |   0.969455 |       0.679200 |        1.014485 |            0.666400 |  1.014027 |      0.683227 |          39.06
(2023-06-04 00:08:21.497 INFO) - train: 35  / 100 |   0.976979 |       0.678000 |        1.027918 |            0.664600 |  1.006591 |      0.690446 |          39.45
